CHANGE_DATE,CHART,CLASS_CODE,CLASS_NAME,ENTP_NAME,ETC_OTC_NAME,FORM_NAME,INGR_CODE,INGR_ENG_NAME,INGR_ENG_NAME_FULL,INGR_NAME,ITEM_NAME,ITEM_PERMIT_DATE,ITEM_SEQ,MAIN_INGR,MIX_INGR,MIX_TYPE,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,TYPE_NAME
20140521,무색 투명한 액이 충전된 앰플,01410,항히스타민제,(주)유한양행,전문의약품,용액주사제,D000893,Chlorpheniramine,Chlorpheniramine(클로르페니라민),클로르페니라민,페니라민주사(클로르페니라민말레산염),19600721,196000010,[M223211]클로르페니라민말레산염,[M223211]클로르페니라민말레산염,단일,20200924,,,노인주의
20190826,미황색의 원형 정제,01410,항히스타민제,(주)유한양행,일반의약품,나정,D000893,Chlorpheniramine,Chlorpheniramine(클로르페니라민),클로르페니라민,페니라민정(클로르페니라민말레산염),19601010,196000011,[M223211]클로르페니라민말레산염,[M223211]클로르페니라민말레산염,단일,20200924,,,노인주의
20180530,국내용: 흰색의 장방형 정제,02350,"최토제, 진토제",일양약품(주),일반의약품,나정,D001262,Dimenhydrinate,Dimenhydrinate(디멘히드리네이트),디멘히드리네이트,보나링에이정(디멘히드리네이트),19700416,197000076,[M040096]디멘히드리네이트,[M040096]디멘히드리네이트,단일,20200924,,,노인주의
20250811,청색의 원형 필름코팅정,01170,정신신경용제,환인제약(주),전문의약품,필름코팅정,D000809,Amitriptyline,Amitriptyline(아미트리프틸린),아미트리프틸린,에나폰정10밀리그램(아미트리프틸린염산염),19700220,197000079,[M223101]아미트리프틸린염산염,[M223101]아미트리프틸린염산염,단일,20150728,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린작용에 의한 구갈, 배뇨곤란, 변비, 안내압항진 등이 나타나기 쉬움으로 소량으로 신중투여",,노인주의
20131127,백색의 원형정제,01190,기타의 중추신경용약,환인제약(주),전문의약품,나정,D000440,Benztropine,Benztropine(벤즈트로핀),벤즈트로핀,환인벤즈트로핀정(벤즈트로핀메실산염),19710202,197100097,[M247864]벤즈트로핀메실산염,[M247864]벤즈트로핀메실산염,단일,20200924,,,노인주의
20240809,엷은 적색의 필름코팅정 ,01170,정신신경용제,일성아이에스(주),전문의약품,필름코팅정,D000466,Nortriptyline,Nortriptyline(노르트립틸린),노르트립틸린,센시발정10밀리그램(염산노르트립틸린),19730117,197300150,[M050132]염산노르트립틸린,[M050132]염산노르트립틸린,단일,20150728,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린작용에 의한 구갈, 배뇨곤란, 변비, 안내압항진 등이 나타나기 쉬움으로 소량으로 신중투여",,노인주의
20240809,흰색의 필름코팅정,01170,정신신경용제,일성아이에스(주),전문의약품,필름코팅정,D000466,Nortriptyline,Nortriptyline(노르트립틸린),노르트립틸린,센시발정25밀리그램(염산노르트립틸린),19730117,197300151,[M050132]염산노르트립틸린,[M050132]염산노르트립틸린,단일,20150728,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린작용에 의한 구갈, 배뇨곤란, 변비, 안내압항진 등이 나타나기 쉬움으로 소량으로 신중투여",,노인주의
20250811,이 약은 청색의 제피정이다.,01170,정신신경용제,동화약품(주),전문의약품,필름코팅정,D000809,Amitriptyline,Amitriptyline(아미트리프틸린),아미트리프틸린,에트라빌10밀리그램정(아미트리프틸린염산염),19750211,197500186,[M223101]아미트리프틸린염산염,[M223101]아미트리프틸린염산염,단일,20150728,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린작용에 의한 구갈, 배뇨곤란, 변비, 안내압항진 등이 나타나기 쉬움으로 소량으로 신중투여",,노인주의
20250811,노란색의 원형 필름코팅정,01170,정신신경용제,동화약품(주),전문의약품,필름코팅정,D000809,Amitriptyline,Amitriptyline(아미트리프틸린),아미트리프틸린,에트라빌25밀리그램정(아미트리프틸린염산염),19750211,197500188,[M223101]아미트리프틸린염산염,[M223101]아미트리프틸린염산염,단일,20150728,"노인에서의 삼환계 항우울제 사용은 기립성 저혈압, 비틀거림, 항콜린작용에 의한 구갈, 배뇨곤란, 변비, 안내압항진 등이 나타나기 쉬움으로 소량으로 신중투여",,노인주의
20180620,흰색의 원형 정제,01410,항히스타민제,영일제약(주),전문의약품,나정,D000026,Cyproheptadine,Cyproheptadine(시프로헵타딘),시프로헵타딘,"영일페리악틴정(시프로헵타딘염산염수화물)(수출명:메디페리악틴정, 메디타딘정)(수출용)",19750205,197500386,[M223093]시프로헵타딘염산염수화물/[M223093]시프로헵타딘염산염수화물,[M223093]시프로헵타딘염산염수화물/[M223093]시프로헵타딘염산염수화물,단일,20200924,,,노인주의
