CHANGE_DATE,CHART,CLASS_CODE,CLASS_NAME,ENTP_NAME,ETC_OTC_NAME,FORM_NAME,INGR_CODE,INGR_ENG_NAME,INGR_ENG_NAME_FULL,INGR_NAME,ITEM_NAME,ITEM_PERMIT_DATE,ITEM_SEQ,MAIN_INGR,MIX_INGR,MIX_TYPE,NOTIFICATION_DATE,PROHBT_CONTENT,REMARK,TYPE_NAME
20200903,백색 또는 약간 황색의 정제(수출용 : 백색 또는 약간 황색의 타원형 정제),02110,강심제,대원제약(주),전문의약품,나정,D000145,Aminophylline,Aminophylline(아미노필린),아미노필린,대원아미노필린정(아미노필린수화물),19700211,197000102,[M223100]아미노필린수화물,,단일,20130712,"동물실험에서 기형발생 보고 및 신생아 구토, 신경과민 가능(테오필린).",,임부금기
20221028,무색 투명한 액이 든 갈색유리앰플 주사제,02110,강심제,대한약품공업(주),전문의약품,용액주사제,D000145,Aminophylline,Aminophylline(아미노필린),아미노필린,대한아미노필린주사액(2.5%),19711215,197100030,[M223100]아미노필린수화물,,단일,20130712,"동물실험에서 기형발생 보고 및 신생아 구토, 신경과민 가능(테오필린).",,임부금기
20190925,무색 투명한 액이 든 갈색 투명한 앰플주사제,02110,강심제,(주)제일제약,전문의약품,용액주사제,D000145,Aminophylline,Aminophylline(아미노필린),아미노필린,제일아미노필린주사액,19751029,197500144,[M223100]아미노필린수화물,,단일,20130712,"동물실험에서 기형발생 보고 및 신생아 구토, 신경과민 가능(테오필린).",,임부금기
20241213,미황색의 원형정제.,02130,이뇨제,건일제약(주),전문의약품,나정,D000159,Amiloride,Amiloride(아미로라이드),아미로라이드,아미로정(염산아미로라이드),19811019,198100103,[M080372]염산아미로라이드,,단일,20130712,"혈액량 감소, 혈액점도 증가 및 태반혈류량 감소와 관련.태아와 신생아의 황달, 태아의 골수억제, 혈소판 감소 보고.",,임부금기
20260316,백색의 원형의 제피정이다.,02140,혈압강하제,현대약품(주),전문의약품,필름코팅정,D000454,Atenolol,Atenolol(아테놀롤),아테놀롤,현대테놀민정50밀리그램(아테놀롤),19810401,198100700,[M201140]아테놀롤,,단일,20130712,"임부에 대한 안전성 미확립.베타차단제는 태반관류를 감소시켜 자궁내 사망, 미숙분만, 조숙분만 야기 가능.분만 또는 수유중 투여시 신생아에서 저혈당증이나 서맥 위험 가능.",,임부금기
20230913,무색 내지 미황색의 투명한 액이 든 무색의 앰플 주사제,06120,주로 그람음성균에 작용하는 것,케이엠에스제약(주),전문의약품,용액주사제,D000550,Amikacin,Amikacin(아미카신),아미카신,아믹탐주사액250밀리그램(아미카신황산염)(수출명:Amikin),19820330,198200255,[M235156]아미카신황산염,,단일,20081211,신생아에 제8뇌신경장애 가능성.,,임부금기
20240221,백색의 원형필름코팅정,02140,혈압강하제,경동제약(주),전문의약품,필름코팅정,D000454,Atenolol,Atenolol(아테놀롤),아테놀롤,아테놀정(아테놀올),19830908,198300755,[M080475]아테놀올,,단일,20130712,"임부에 대한 안전성 미확립.베타차단제는 태반관류를 감소시켜 자궁내 사망, 미숙분만, 조숙분만 야기 가능.분만 또는 수유중 투여시 신생아에서 저혈당증이나 서맥 위험 가능.",,임부금기
20191209,등색 장방형의 필림코팅정,02140,혈압강하제,명인제약(주),전문의약품,필름코팅정,D000454,Atenolol,Atenolol(아테놀롤),아테놀롤,아테노린정100밀리그람(아테놀올)(수출용),19860517,198600613,[M080475]아테놀올,,단일,20130712,"임부에 대한 안전성 미확립.베타차단제는 태반관류를 감소시켜 자궁내 사망, 미숙분만, 조숙분만 야기 가능.분만 또는 수유중 투여시 신생아에서 저혈당증이나 서맥 위험 가능.",,임부금기
20191108,흰색의 원형필름코팅정제,02140,혈압강하제,(주)씨엠지제약,전문의약품,필름코팅정,D000454,Atenolol,Atenolol(아테놀롤),아테놀롤,아놀렉스정50밀리그램(아테놀롤),19860621,198601273,[M201140]아테놀롤,,단일,20130712,"임부에 대한 안전성 미확립.베타차단제는 태반관류를 감소시켜 자궁내 사망, 미숙분만, 조숙분만 야기 가능.분만 또는 수유중 투여시 신생아에서 저혈당증이나 서맥 위험 가능.",,임부금기
20260225,연한 오렌지색의 타원형 필름코팅정,06420,구충제,(주)유한양행,일반의약품,필름코팅정,D000254,Albendazole,Albendazole(알벤다졸),알벤다졸,젠텔정400밀리그램(알벤다졸),19871228,198701888,[M081226]알벤다졸,,단일,20081211,,경구,임부금기
